asset,target_date,quote_date_used,source,value
7045,2023-10-10,2023-10-10,mirror,1531.0
7045,2023-10-10,2023-10-10,mirror,1531.0
6938,2023-10-13,2023-10-13,mirror,1902.0
7611,2023-10-13,2023-10-13,mirror,3525.0
4111,2023-10-13,2023-10-13,mirror,1031.0
5987,2023-10-13,2023-10-13,mirror,2764.0
4111,2023-10-13,2023-10-13,mirror,1031.0
5987,2023-10-13,2023-10-13,mirror,2764.0
6938,2023-10-13,2023-10-13,mirror,1902.0
7611,2023-10-13,2023-10-13,mirror,3525.0
7066,2023-10-23,2023-10-23,mirror,2042.0
7066,2023-10-23,2023-10-23,mirror,2042.0
8135,2023-10-31,2023-10-31,mirror,2991.0
8135,2023-10-31,2023-10-31,mirror,2991.0
4111,2023-10-31,2023-10-31,mirror,1881.0
4111,2023-10-31,2023-10-31,mirror,1881.0
5001,2023-11-01,2023-11-01,mirror,2230.0
5001,2023-11-01,2023-11-01,mirror,2230.0
2505,2023-11-01,2023-11-01,mirror,2614.0
8121,2023-11-01,2023-11-01,mirror,3213.0
3214,2023-11-01,2023-11-01,mirror,1537.0
3214,2023-11-01,2023-11-01,mirror,1537.0
2505,2023-11-01,2023-11-01,mirror,2614.0
8121,2023-11-01,2023-11-01,mirror,3213.0
2028,2023-11-03,2023-11-03,mirror,2718.0
2028,2023-11-03,2023-11-03,mirror,2718.0
2216,2023-11-03,2023-11-03,mirror,3720.0
2216,2023-11-03,2023-11-03,mirror,3720.0
3214,2023-11-03,2023-11-03,mirror,1550.0
10866,2023-11-03,2023-11-03,mirror,2294.0
10866,2023-11-03,2023-11-03,mirror,2294.0
3214,2023-11-03,2023-11-03,mirror,1550.0
7066,2023-11-05,2023-11-05,mirror,1932.0
4137,2023-11-05,2023-11-05,mirror,2750.0
4137,2023-11-05,2023-11-05,mirror,2750.0
6011,2023-11-05,2023-11-05,mirror,2196.0
6011,2023-11-05,2023-11-05,mirror,2196.0
7066,2023-11-05,2023-11-05,mirror,1932.0
8112,2023-11-05,2023-11-05,mirror,5095.0
6786,2023-11-05,2023-11-05,mirror,7001.0
6786,2023-11-05,2023-11-05,mirror,7001.0
8112,2023-11-05,2023-11-05,mirror,5095.0
7066,2023-11-06,2023-11-06,mirror,1888.0
7066,2023-11-06,2023-11-06,mirror,1888.0
6130,2023-11-20,2023-11-20,mirror,2273.0
6130,2023-11-20,2023-11-20,mirror,2273.0
2309,2023-11-28,2023-11-28,mirror,3297.0
2216,2023-11-28,2023-11-28,mirror,3824.0
2216,2023-11-28,2023-11-28,mirror,3824.0
2309,2023-11-28,2023-11-28,mirror,3297.0
10232,2023-12-01,2023-12-01,mirror,2852.0
2251,2023-12-01,2023-12-01,mirror,1438.0
2251,2023-12-01,2023-12-01,mirror,1438.0
10232,2023-12-01,2023-12-01,mirror,2852.0
1426,2023-12-05,2023-12-05,mirror,2617.0
1426,2023-12-05,2023-12-05,mirror,2617.0
9487,2023-12-06,2023-12-06,mirror,1362.0
9487,2023-12-06,2023-12-06,mirror,1362.0
6845,2023-12-06,2023-12-06,mirror,2420.0
6845,2023-12-06,2023-12-06,mirror,2420.0
10866,2023-12-07,2023-12-07,mirror,2215.0
10866,2023-12-07,2023-12-07,mirror,2215.0
4234,2023-12-09,2023-12-09,mirror,2222.0
6820,2023-12-09,2023-12-09,mirror,1034.0
4234,2023-12-09,2023-12-09,mirror,2222.0
6820,2023-12-09,2023-12-09,mirror,1034.0
8134,2023-12-10,2023-12-10,mirror,2432.0
7562,2023-12-10,2023-12-10,mirror,2048.0
7562,2023-12-10,2023-12-10,mirror,2048.0
8134,2023-12-10,2023-12-10,mirror,2432.0
4981,2023-12-10,2023-12-10,mirror,3644.0
4981,2023-12-10,2023-12-10,mirror,3644.0
9484,2023-12-12,2023-12-12,mirror,1702.0
9484,2023-12-12,2023-12-12,mirror,1702.0
96,2024-03-02,2024-03-02,mirror,2717.0
4199,2024-03-02,2024-03-02,mirror,3080.0
4199,2024-03-02,2024-03-02,mirror,3080.0
96,2024-03-02,2024-03-02,mirror,2717.0
8126,2024-04-29,2024-04-29,mirror,2290.0
4217,2024-04-29,2024-04-29,mirror,3448.0
4217,2024-04-29,2024-04-29,mirror,3448.0
8126,2024-04-29,2024-04-29,mirror,2290.0
1689,2024-05-03,2024-05-03,mirror,1622.0
4034,2024-05-03,2024-05-03,mirror,6633.0
4039,2024-05-03,2024-05-03,mirror,3742.0
4950,2024-05-03,2024-05-03,mirror,3436.0
6797,2024-05-03,2024-05-03,mirror,7739.0
1689,2024-05-03,2024-05-03,mirror,1622.0
4034,2024-05-03,2024-05-03,mirror,6633.0
4039,2024-05-03,2024-05-03,mirror,3742.0
4950,2024-05-03,2024-05-03,mirror,3436.0
6797,2024-05-03,2024-05-03,mirror,7739.0
19,2024-05-11,2024-05-11,mirror,639.0
6828,2024-05-11,2024-05-11,mirror,1481.0
6828,2024-05-11,2024-05-11,mirror,1481.0
19,2024-05-11,2024-05-11,mirror,639.0
1426,2024-05-13,2024-05-13,mirror,2618.0
6819,2024-05-13,2024-05-13,mirror,5285.0
8142,2024-05-13,2024-05-13,mirror,1602.0
10232,2024-05-13,2024-05-13,mirror,2353.0
10232,2024-05-13,2024-05-13,mirror,2353.0
1426,2024-05-13,2024-05-13,mirror,2618.0
6819,2024-05-13,2024-05-13,mirror,5285.0
8142,2024-05-13,2024-05-13,mirror,1602.0
3198,2024-05-13,2024-05-13,mirror,3373.0
