Team,Week,Year,PF,Win?,Opponent,Points against,Margin,Max PF,Efficiency,Number of Injuries,Number of suspensions,Number of players on bye,Largest deficit overcome (if win),Starter turnover from previous week,Difference in pregame avg max PF from opponent,UPST,Hardship,Tanking,Luck,Brosenzweig,Sisenzweig,Highest score?,Lowest score?,Narrowest victory?,Largest blowout?,Most efficient?,Least efficient?,Increase in points from previous week,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Number of transactions,Number of trades,Amount of FAAB spent,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams amoung rostered players,Number of rookies started,Number of rookies rostered,Player average age,Win streak,Loss streak,Win streak counting previous season,Loss streak counting previous season,Top half of league?,Difference between highest and lowest starters,Combined matchup score,Number of donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,Number of cuffs rostered,Number of cuffs started,Future draft capital,Startup draft players remaining,WeekNum,Week_Sort,Week_Group,_week_sort
AceMatthew,11,2023,123.3,0.0,Oliverwkw,136.22,-12.92,0.0,,0,0,1,,6.0,,0.0,0.0,,-0.5714,0,0,,,,,,,-42.14,2,3,3,1,4,11,10,3,2,0,0.0,2,2,,,,,,,,,8,18,0,0,25.51,0,1,,,,16.5,259.52,0,3,1,0,0,0,,,,,11,11,11,11
AceMatthew,12,2023,173.9,1.0,JacobRosenzweig,150.04,23.86,0.0,,0,0,0,,4.0,,0.0,0.0,,0.0,0,0,,,,,,,50.60000000000001,2,3,3,1,5,12,9,2,2,0,0.0,2,2,,,,,,,,,7,19,0,0,25.46,1,0,,,,23.44,323.94,0,1,4,1,0,0,,,,,12,12,12,12
AceMatthew,13,2023,167.98,1.0,BROsenzweig,104.84,63.14,0.0,,0,0,9,,8.0,,0.0,0.0,,0.0,0,0,,,,,,,-5.920000000000016,2,3,3,1,5,12,9,2,1,0,0.0,2,2,,,,,,,,,6,19,0,0,25.65,2,0,,,,27.3,272.82,0,2,4,1,0,0,,,,,13,13,13,13
AceMatthew,14,2023,141.94,0.0,plehv79,146.48,-4.54,0.0,,0,0,0,,10.0,,0.0,0.0,,-0.7143,0,0,,,,,,,-26.039999999999992,2,4,2,1,5,12,8,3,5,0,0.0,2,2,,,,,,,,,8,20,0,0,25.62,0,1,,,,19.8,288.42,0,2,2,0,0,0,,,,,14,14,14,14
AceMatthew,15,2023,99.12,0.0,Shmuel256,158.36,-59.24,0.0,,0,0,0,,4.0,,0.0,0.0,,0.0,0,0,,,,,,,-42.81999999999999,2,4,2,1,7,11,8,2,4,0,0.0,2,3,,,,,,,,,8,18,0,0,25.74,0,2,,,,24.7,257.48,1,5,1,0,0,0,,,,,15,15,15,15
AceMatthew,17,2023,165.48,1.0,Toilet Final,112.28,53.2,0.0,,0,0,0,,2.0,,0.0,0.0,,0.0,0,0,,,,,,,66.35999999999999,2,4,2,1,5,13,8,2,2,0,0.0,2,2,,,,,,,,,7,18,0,0,25.42,1,0,,,,34.6,277.76,0,3,3,2,1,0,,,,,17,17,17,17
AceMatthew,Toilet Semis,2023,117.72,0.0,JacobRosenzweig,139.08,-21.36,0.0,,0,0,0,,2.0,,0.0,0.0,,-0.2857,0,0,,,,,,,-47.75999999999999,2,4,2,1,5,12,8,2,1,0,0.0,2,2,,,,,,,,,8,17,0,0,25.44,0,1,,,,23.5,256.8,0,4,2,0,0,0,,,,,16,1001,16,1001
AceMatthew,1,2024,135.22,0.0,BROsenzweig,153.78,-18.56,0.0,,0,0,0,,,,0.0,0.0,,-0.4286,0,0,,,,,,,,2,4,3,1,5,12,9,2,15,6,0.0,2,3,,,,,,,,,9,20,0,0,26.45,0,2,,,,24.7,289.0,0,2,2,0,0,0,,,,,1,1,1,1
AceMatthew,2,2024,140.24,1.0,Oliverwkw,110.8,29.44,0.0,,0,0,0,,4.0,,0.0,0.0,,0.4286,0,0,,,,,,,5.02000000000001,2,3,4,1,5,12,9,2,0,0,0.0,2,3,,,,,,,,,8,20,0,0,26.47,1,0,,,,16.7,251.04,0,3,1,0,0,0,,,,,2,2,2,2
AceMatthew,3,2024,101.64,0.0,stevenb123,141.38,-39.74,0.0,,0,0,0,,6.0,,0.0,0.0,,0.0,0,0,,,,,,,-38.60000000000001,2,4,3,1,5,12,10,3,4,0,0.0,2,3,,,,,,,,,8,21,0,0,26.53,0,1,,,,21.86,243.02,0,7,2,0,0,0,,,,,3,3,3,3
AceMatthew,4,2024,171.02,1.0,JacobRosenzweig,159.18,11.84,0.0,,0,0,0,,8.0,,0.0,0.0,,0.0,0,0,,,,,,,69.38000000000001,2,3,4,1,5,12,9,3,2,0,0.0,2,3,,,,,,,,,8,20,0,0,26.6,1,0,,,,18.9,330.2,0,1,4,0,0,0,,,,,4,4,4,4
AceMatthew,5,2024,172.06,0.0,Shmuel256,172.46,-0.4,0.0,,0,0,1,,4.0,,0.0,0.0,,-0.8571,1,0,,,,,,,1.039999999999992,2,4,3,1,6,12,10,2,3,0,0.0,2,3,,,,,,,,,7,21,0,0,26.93,0,1,,,,27.88,344.52,0,2,3,1,0,0,,,,,5,5,5,5
AceMatthew,6,2024,132.44,0.0,plehv79,163.44,-31.0,0.0,,0,0,2,,4.0,,0.0,0.0,,-0.1429,0,0,,,,,,,-39.620000000000005,2,3,4,1,6,13,10,2,1,0,0.0,2,3,,,,,,,,,9,21,0,0,26.99,0,2,,,,19.18,295.88,0,4,2,0,0,0,,,,,6,6,6,6
AceMatthew,7,2024,132.98,0.0,LWebs53,136.16,-3.18,0.0,,0,0,3,,12.0,,0.0,0.0,,-0.2857,0,0,,,,,,,0.539999999999992,2,4,3,1,6,13,9,2,6,0,0.0,1,3,,,,,,,,,9,21,0,0,26.88,0,3,,,,24.1,269.14,0,4,3,0,0,0,,,,,7,7,7,7
AceMatthew,8,2024,173.1,1.0,BROsenzweig,126.66,46.44,0.0,,0,0,0,,6.0,,0.0,0.0,,0.1429,0,0,,,,,,,40.120000000000005,2,3,4,1,6,14,9,2,4,0,0.0,2,3,,,,,,,,,9,21,0,0,26.82,1,0,,,,37.8,299.76,0,1,3,1,0,0,,,,,8,8,8,8
AceMatthew,9,2024,163.64,1.0,Oliverwkw,137.22,26.42,0.0,,0,0,1,,4.0,,0.0,0.0,,0.2857,0,0,,,,,,,-9.460000000000008,2,3,4,1,5,12,10,2,9,1,0.0,2,3,,,,,,,,,9,21,0,0,26.51,2,0,,,,17.14,300.86,0,0,2,0,0,0,,,,,9,9,9,9
AceMatthew,10,2024,130.08,0.0,stevenb123,145.42,-15.34,0.0,,0,0,4,,8.0,,0.0,0.0,,-0.2857,0,0,,,,,,,-33.559999999999974,2,4,3,1,6,11,10,3,1,0,0.0,1,3,,,,,,,,,10,20,0,0,26.83,0,1,,,,27.32,275.5,0,5,2,1,0,0,,,,,10,10,10,10
AceMatthew,11,2024,212.92,1.0,JacobRosenzweig,195.56,17.36,0.0,,0,0,4,,8.0,,0.0,0.0,,0.0,0,0,,,,,,,82.83999999999997,2,3,4,1,6,11,10,3,1,0,0.0,1,3,,,,,,,,,10,20,0,0,26.84,1,0,,,,29.0,408.48,0,1,5,2,0,0,,,,,11,11,11,11
