Year,Original Team,Number,Player Picked,Trade 1,Trade 2,Trade 3,Trade 4,Trade 5,Trade 6,Trade 7,Trade 8,Trade 9,Trade 10,etc
2023,BROsenzweig,R4.30,Luke Schoonmaker,,,,,,,,,,,
2023,Oliverwkw,R4.31,Odell Beckham,,,,,,,,,,,
2023,LWebs53,R4.32,Luke Musgrave,,,,,,,,,,,
2024,stevenb123,R1.1,Marvin Harrison,,,,,,,,,,,
2024,stevenb123,R1.2,Caleb Williams,,,,,,,,,,,
2024,BROsenzweig,R1.3,Malik Nabers,,,,,,,,,,,
2024,LWebs53,R1.4,Jayden Daniels,,,,,,,,,,,
2024,AceMatthew,R1.5,Drake Maye,,,,,,,,,,,
2024,JacobRosenzweig,R1.6,Rome Odunze,,,,,,,,,,,
2024,AceMatthew,R1.7,Brock Bowers,,,,,,,,,,,
2024,LWebs53,R1.8,Brian Thomas,,,,,,,,,,,
2024,stevenb123,R2.9,Jonathon Brooks,,,,,,,,,,,
2024,Oliverwkw,R2.10,Xavier Worthy,,,,,,,,,,,
2024,Oliverwkw,R2.11,J.J. McCarthy,,,,,,,,,,,
2024,plehv79,R2.12,Ladd McConkey,,,,,,,,,,,
2024,JacobRosenzweig,R2.13,Keon Coleman,,,,,,,,,,,
2024,JacobRosenzweig,R2.14,Trey Benson,,,,,,,,,,,
2024,Shmuel256,R2.15,Ricky Pearsall,,,,,,,,,,,
2024,Oliverwkw,R2.16,Xavier Legette,,,,,,,,,,,
2024,Oliverwkw,R3.17,Bo Nix,,,,,,,,,,,
2024,Oliverwkw,R3.18,Michael Penix,,,,,,,,,,,
2024,Oliverwkw,R3.19,Adonai Mitchell,,,,,,,,,,,
2024,Oliverwkw,R3.20,Troy Franklin,,,,,,,,,,,
2024,Oliverwkw,R3.21,Blake Corum,,,,,,,,,,,
2024,Oliverwkw,R3.22,Jaylen Wright,,,,,,,,,,,
2024,Oliverwkw,R3.23,Ben Sinnott,,,,,,,,,,,
2024,Oliverwkw,R3.24,Jermaine Burton,,,,,,,,,,,
2024,LWebs53,R4.25,Ja'Tavion Sanders,,,,,,,,,,,
2024,Oliverwkw,R4.26,Theo Johnson,,,,,,,,,,,
2024,stevenb123,R4.27,Roman Wilson,,,,,,,,,,,
2024,plehv79,R4.28,MarShawn Lloyd,,,,,,,,,,,
2024,AceMatthew,R4.29,Malachi Corley,,,,,,,,,,,
2024,BROsenzweig,R4.30,Kimani Vidal,,,,,,,,,,,
2024,Shmuel256,R4.31,Tyrone Tracy,,,,,,,,,,,
2024,plehv79,R4.32,Javon Baker,,,,,,,,,,,
2025,JacobRosenzweig,R1.1,Ashton Jeanty,,,,,,,,,,,
2025,Oliverwkw,R1.2,Travis Hunter,,,,,,,,,,,
2025,LWebs53,R1.3,Omarion Hampton,,,,,,,,,,,
2025,plehv79,R1.4,Tetairoa McMillan,,,,,,,,,,,
2025,Oliverwkw,R1.5,TreVeyon Henderson,,,,,,,,,,,
2025,JacobRosenzweig,R1.6,Cam Ward,,,,,,,,,,,
2025,Oliverwkw,R1.7,Matthew Golden,,,,,,,,,,,
2025,Oliverwkw,R1.8,Quinshon Judkins,,,,,,,,,,,
2025,plehv79,R2.9,Emeka Egbuka,,,,,,,,,,,
2025,Oliverwkw,R2.10,Colston Loveland,,,,,,,,,,,
2025,stevenb123,R2.11,RJ Harvey,,,,,,,,,,,
2025,stevenb123,R2.12,Kaleb Johnson,,,,,,,,,,,
2025,LWebs53,R2.13,Tyler Warren,,,,,,,,,,,
2025,LWebs53,R2.14,Cam Skattebo,,,,,,,,,,,
2025,plehv79,R2.15,Luther Burden,,,,,,,,,,,
2025,JacobRosenzweig,R2.16,Jaxson Dart,,,,,,,,,,,
2025,Shmuel256,R3.17,Tre' Harris,,,,,,,,,,,
2025,plehv79,R3.18,Bhayshul Tuten,,,,,,,,,,,
2025,Shmuel256,R3.19,Dylan Sampson,,,,,,,,,,,
2025,plehv79,R3.20,Jack Bech,,,,,,,,,,,
2025,Shmuel256,R3.21,Kyle Williams,,,,,,,,,,,
2025,plehv79,R3.22,Terrance Ferguson,,,,,,,,,,,
2025,Oliverwkw,R3.23,Mason Taylor,,,,,,,,,,,
2025,AceMatthew,R3.24,Jalen Milroe,,,,,,,,,,,
2025,stevenb123,R4.25,Jaydon Blue,,,,,,,,,,,
2025,stevenb123,R4.26,Tyler Shough,,,,,,,,,,,
2025,stevenb123,R4.27,Jaylin Noel,,,,,,,,,,,
2025,stevenb123,R4.28,Devin Neal,,,,,,,,,,,
2025,stevenb123,R4.29,Elijah Arroyo,,,,,,,,,,,
2025,stevenb123,R4.30,Jalen Royals,,,,,,,,,,,
2025,stevenb123,R4.31,Harold Fannin,,,,,,,,,,,
2025,stevenb123,R4.32,Pat Bryant,,,,,,,,,,,
