Player-Week,Player-year,Player-all-time,team-week,team-year,team-all-time,league-week,league-year,league-all-time,add_drops,player_additions,trades,non_rookie_picks,rookie_picks,Formulas
PPG as team starter this season,PPG starter per rostered week adjusted by position,PPG starter vs bench diff adjusted by position,Number of starters under 10,Number of starter donuts,Number of NFL teams among starting players,,,,,,,,,
PPG as team starter adjusted by position this season,Adjusted PPG starter per rostered week,Regular-season PPG starter,Number of players over 20,Number of players under 10,Number of NFL teams among rostered players,,,,,,,,,
Total times highest starter on team,Adjusted PPG starter per rostered week adjusted by position,Regular-season PPG starter adjusted by position,Number of starters over 20,Number of starters under 10,Stacks,,,,,,,,,
Total times highest starter on team this season,PPG bench,Playoff PPG starter,Number of players over 30,Number of players over 20,Number of rookies started,,,,,,,,,
Total times lowest starter on team,PPG bench adjusted by position,Playoff PPG starter adjusted by position,Number of starters over 30,Number of starters over 20,Number of rookies rostered,,,,,,,,,
Total times lowest starter on team this season,Adjusted PPG bench,Playoff minus regular-season PPG starter,Number of players over 40,Number of players over 30,% of players drafted,,,,,,,,,
Total weeks on bench,Adjusted PPG bench adjusted by position,Playoff minus regular-season PPG starter adjusted by position,Number of starters over 40,Number of starters over 30,% of 3rd year+ players drafted,,,,,,,,,
Total weeks on bench this season,PPG starter vs bench diff,,Number of players over 50,Number of players over 40,Player average age,,,,,,,,,
- Activated Cuff? (Did he start while a teammate he is the handcuff for was injured?),PPG starter vs bench diff adjusted by position,,Number of starters over 50,Number of starters over 40,Team age including picks,,,,,,,,,
Number of Add/Drops,,,% of starters boom,Number of players over 50,Difference between highest and lowest starters,,,,,,,,,
Number of drops,,,% of starters upper quartile,Number of starters over 50,Number of donuts,,,,,,,,,
Number of trades,,,% of starters middle 50%,% of starters boom,Number of starter donuts,,,,,,,,,
,,,% of starters lower quartile,% of starters upper quartile,Number of players under 10,,,,,,,,,
,,,% of starters bust,% of starters middle 50%,Number of starters under 10,,,,,,,,,
,,,Number of cuffs rostered,% of starters lower quartile,Number of players over 20,,,,,,,,,
,,,Number of cuffs started,% of starters bust,Number of starters over 20,,,,,,,,,
,,,Startup draft players remaining,Number of cuffs rostered,Number of players over 30,,,,,,,,,
,,,Tanking,Number of cuffs started,Number of starters over 30,,,,,,,,,
,,,Number of Injuries,Startup draft players remaining,Number of players over 40,,,,,,,,,
,,,Number of suspensions,Tanking,Number of starters over 40,,,,,,,,,
,,,Number of starter injuries,Losses from hardship,Number of players over 50,,,,,,,,,
,,,Number of starter suspensions,Losses from byes,Number of starters over 50,,,,,,,,,
,,,Number of players on bye,Wins from byes,% of starters boom,,,,,,,,,
,,,Hardship,Losses from hardship (2-sided),% of starters upper quartile,,,,,,,,,
,,,Starter-adjusted Hardship,Wins from hardship (2-sided),% of starters middle 50%,,,,,,,,,
,,,Loss from hardship?,Weeks of injuries,% of starters lower quartile,,,,,,,,,
,,,Loss from bye?,Weeks suspensions,% of starters bust,,,,,,,,,
,,,Win from bye?,Weeks of starter injuries,Number of cuffs rostered,,,,,,,,,
,,,Loss from hardship (2-sided)?,Weeks of starter suspensions,Number of cuffs started,,,,,,,,,
,,,Win from hardship (2-sided)?,Hardship,Startup draft players remaining,,,,,,,,,
,,,Luck,Starter-adjusted Hardship,Tanking,,,,,,,,,
,,,Starter turnover from previous week,Luck,Weeks of injuries,,,,,,,,,
,,,Roster turnover from previous week,Draft Value,Weeks suspensions,,,,,,,,,
,,,Number of Add/Drops,3-year roster retention rate,Weeks of starter injuries,,,,,,,,,
,,,Number of waiver adds,Number of first round picks made,Weeks of starter suspensions,,,,,,,,,
,,,Number of free agency adds,Total number of picks made,Hardship,,,,,,,,,
,,,Number of pure drops,Offseason starter turnover,Starter-adjusted Hardship,,,,,,,,,
,,,Number of trades,Inseason starter turnover,Avg yearly luck,,,,,,,,,
,,,Total transactions,Offseason roster turnover,Losses from hardship,,,,,,,,,
,,,Amount of FAAB spent,Inseason roster turnover,Losses from byes,,,,,,,,,
,,,Future draft capital,Number of Add/Drops,Wins from byes,,,,,,,,,
,,,,Number of waiver adds,Losses from hardship (2-sided),,,,,,,,,
,,,,Number of free agency adds,Wins from hardship (2-sided),,,,,,,,,
,,,,Number of pure drops,Draft Value,,,,,,,,,
,,,,Offseason trades,3-year roster retention rate,,,,,,,,,
,,,,Inseason trades,Number of first round picks made,,,,,,,,,
,,,,Total trades,Total number of picks made,,,,,,,,,
,,,,Total transactions,Offseason starter turnover,,,,,,,,,
,,,,Amount of FAAB spent,Inseason starter turnover,,,,,,,,,
,,,,Future draft capital,Offseason roster turnover,,,,,,,,,
,,,,Change in win % from previous season,Inseason roster turnover,,,,,,,,,
,,,,,Number of Add/Drops,,,,,,,,,
,,,,,Number of waiver adds,,,,,,,,,
,,,,,Number of free agency adds,,,,,,,,,
,,,,,Number of pure drops,,,,,,,,,
,,,,,Offseason trades,,,,,,,,,
,,,,,Inseason trades,,,,,,,,,
,,,,,Total trades,,,,,,,,,
,,,,,Total transactions,,,,,,,,,
,,,,,Amount of FAAB spent,,,,,,,,,
,,,,,Future draft capital,,,,,,,,,
